# bbscan_version,0.4.6
# generated_at,2026-02-28 19:48:31

skillLineID,profession,spellID,spellName,minSkill,effects,outputs,outputs_named,reagents,reagents_named,totems,has_random_item
164,Blacksmithing,2661,,55,24,2851,2851,2840x6,2840x6,,0
164,Blacksmithing,2662,,40,24,2852,2852,2840x4,2840x4,,0
164,Blacksmithing,2663,,1,24,2853,2853,2840x2,2840x2,,0
164,Blacksmithing,2664,,65,24,2854,2854,2840x10;3470x3,2840x10;3470x3,,0
164,Blacksmithing,2665,,75,24,2863,2863,2836x1,2836x1,,0
164,Blacksmithing,2666,,80,24,2857,2857,2840x10,2840x10,,0
164,Blacksmithing,2667,,90,24,2864,2864,2840x12;1210x1;3470x2,2840x12;1210x1;3470x2,,0
164,Blacksmithing,2668,,95,24,2865,2865,2841x6,2841x6,,0
164,Blacksmithing,2670,,105,24,2866,2866,2841x7,2841x7,,0
164,Blacksmithing,2671,,1,24,2867,2867,2841x4,2841x4,,0
164,Blacksmithing,2672,,120,24,2868,2868,2841x5;3478x2,2841x5;3478x2,,0
164,Blacksmithing,2673,,1,24,2869,2869,2841x10;2842x2;3478x2,2841x10;2842x2;3478x2,,0
164,Blacksmithing,2674,,125,24,2871,2871,2838x1,2838x1,,0
164,Blacksmithing,2675,,135,24,2870,2870,2841x20;1206x2;1705x2;5500x2;2842x4,2841x20;1206x2;1705x2;5500x2;2842x4,,0
164,Blacksmithing,2737,,30,24,2844,2844,2840x6;2880x1;2589x2,2840x6;2880x1;2589x2,,0
164,Blacksmithing,2738,,35,24,2845,2845,2840x6;2880x1;2589x2,2840x6;2880x1;2589x2,,0
164,Blacksmithing,2739,,40,24,2847,2847,2840x6;2880x1;2589x2,2840x6;2880x1;2589x2,,0
164,Blacksmithing,2740,,75,24,2848,2848,2841x6;2880x4;2319x1,2841x6;2880x4;2319x1,,0
164,Blacksmithing,2741,,85,24,2849,2849,2841x7;2880x4;2319x1,2841x7;2880x4;2319x1,,0
164,Blacksmithing,2742,,95,24,2850,2850,2841x5;2880x4;2319x2,2841x5;2880x4;2319x2,,0
185,Cooking,2795,,40,24,2888,2888,2886x1,2886x1,,0
165,Leatherworking,2881,,1,24,2318,2318,2934x3,2934x3,,0
197,Tailoring,2963,,1,24,2996,2996,2589x2,2589x2,,0
197,Tailoring,2964,,1,24,2997,2997,2592x3,2592x3,,0
164,Blacksmithing,3115,,1,24,3239,3239,2835x1;2589x1,2835x1;2589x1,,0
164,Blacksmithing,3116,,1,24,3240,3240,2836x1;2592x1,2836x1;2592x1,,0
164,Blacksmithing,3117,,1,24,3241,3241,2838x1;2592x1,2838x1;2592x1,,0
171,Alchemy,3170,,1,24,3382,3382,2447x1;2449x2;3371x1,2447x1;2449x2;3371x1,,0
171,Alchemy,3171,,1,24,3383,3383,785x1;2450x2;3371x1,785x1;2450x2;3371x1,,0
171,Alchemy,3172,,1,24,3384,3384,785x3;3355x1;3371x1,785x3;3355x1;3371x1,,0
171,Alchemy,3173,,1,24,3385,3385,785x1;3820x1;3371x1,785x1;3820x1;3371x1,,0
171,Alchemy,3174,,1,24,3386,3386,1288x1;2453x1;3372x1,1288x1;2453x1;3372x1,,0
171,Alchemy,3175,,1,24,3387,3387,8839x2;8845x1;8925x1,8839x2;8845x1;8925x1,,0
171,Alchemy,3176,,1,24,3388,3388,2453x2;2450x2;3372x1,2453x2;2450x2;3372x1,,0
171,Alchemy,3177,,1,24,3389,3389,3355x1;3820x1;3372x1,3355x1;3820x1;3372x1,,0
171,Alchemy,3188,,1,24,3391,3391,2449x1;3356x1;3372x1,2449x1;3356x1;3372x1,,0
171,Alchemy,3230,,1,24,2457,2457,2452x1;765x1;3371x1,2452x1;765x1;3371x1,,0
129,First Aid,3275,,1,24,1251,1251,2589x1,2589x1,,0
129,First Aid,3276,,1,24,2581,2581,2589x2,2589x2,,0
129,First Aid,3276,,40,24,2581,2581,2589x2,2589x2,,0
129,First Aid,3277,,1,24,3530,3530,2592x1,2592x1,,0
129,First Aid,3277,,80,24,3530,3530,2592x1,2592x1,,0
129,First Aid,3278,,1,24,3531,3531,2592x2,2592x2,,0
129,First Aid,3278,,115,24,3531,3531,2592x2,2592x2,,0
164,Blacksmithing,3292,,1,24,3487,3487,2840x14;2880x2;818x2;2319x2,2840x14;2880x2;818x2;2319x2,,0
164,Blacksmithing,3293,,1,24,3488,3488,2840x12;2880x2;774x2;3470x2;2318x2,2840x12;2880x2;774x2;3470x2;2318x2,,0
164,Blacksmithing,3294,,1,24,3489,3489,2840x10;2880x2;2842x2;3470x2;2318x2,2840x10;2880x2;2842x2;3470x2;2318x2,,0
164,Blacksmithing,3295,,1,24,3490,3490,2841x4;3466x1;2459x1;1210x2;3478x2;2319x2,2841x4;3466x1;2459x1;1210x2;3478x2;2319x2,,0
164,Blacksmithing,3296,,1,24,3491,3491,2841x8;3466x1;1206x1;1210x1;3478x2;2319x2,2841x8;3466x1;1206x1;1210x1;3478x2;2319x2,,0
164,Blacksmithing,3297,,1,24,3492,3492,3575x6;3466x2;3391x1;1705x2;3478x2;2319x2,3575x6;3466x2;3391x1;1705x2;3478x2;2319x2,,0
164,Blacksmithing,3319,,1,24,3469,3469,2840x8,2840x8,,0
164,Blacksmithing,3320,,1,24,3470,3470,2835x2,2835x2,,0
164,Blacksmithing,3321,,1,24,3471,3471,2840x8;3470x2,2840x8;3470x2,,0
164,Blacksmithing,3323,,1,24,3472,3472,2840x8;3470x2,2840x8;3470x2,,0
164,Blacksmithing,3324,,1,24,3473,3473,2840x8;2321x2;3470x3,2840x8;2321x2;3470x3,,0
164,Blacksmithing,3325,,1,24,3474,3474,2840x8;818x1;774x1,2840x8;818x1;774x1,,0
164,Blacksmithing,3326,,1,24,3478,3478,2836x2,2836x2,,0
164,Blacksmithing,3328,,1,24,3480,3480,2841x5;3478x1,2841x5;3478x1,,0
164,Blacksmithing,3330,,1,24,3481,3481,2841x8;2842x2;3478x2,2841x8;2842x2;3478x2,,0
164,Blacksmithing,3331,,1,24,3482,3482,2841x6;2842x1;3478x2,2841x6;2842x1;3478x2,,0
164,Blacksmithing,3333,,1,24,3483,3483,2841x8;2842x1;3478x2,2841x8;2842x1;3478x2,,0
164,Blacksmithing,3334,,1,24,3484,3484,3575x6;3478x2;2605x1,3575x6;3478x2;2605x1,,0
164,Blacksmithing,3336,,1,24,3485,3485,3575x4;5498x2;3478x2;2605x1,3575x4;5498x2;3478x2;2605x1,,0
164,Blacksmithing,3337,,1,24,3486,3486,2838x3,2838x3,,0
185,Cooking,3370,,1,24,3662,3662,2924x1,2924x1,,0
185,Cooking,3371,,1,24,3220,3220,3173x1;3172x1;3174x1,3173x1;3172x1;3174x1,,0
185,Cooking,3372,,1,24,3663,3663,1468x2,1468x2,,0
185,Cooking,3373,,1,24,3664,3664,3667x1,3667x1,,0
185,Cooking,3376,,1,24,3665,3665,3685x1,3685x1,,0
185,Cooking,3377,,1,24,3666,3666,2251x2,2251x2,,0
185,Cooking,3397,,1,24,3726,3726,3730x1,3730x1,,0
185,Cooking,3398,,1,24,3727,3727,3731x1,3731x1,,0
185,Cooking,3399,,1,24,3728,3728,3731x2,3731x2,,0
185,Cooking,3400,,1,24,3729,3729,3712x1,3712x1,,0
171,Alchemy,3447,,1,24,929,929,2453x1;2450x1;3372x1,2453x1;2450x1;3372x1,,0
171,Alchemy,3448,,1,24,3823,3823,3818x1;3355x1;3372x1,3818x1;3355x1;3372x1,,0
171,Alchemy,3449,,1,24,3824,3824,3818x4;3369x4;3372x1,3818x4;3369x4;3372x1,,0
171,Alchemy,3450,,1,24,3825,3825,3355x1;3821x1;3372x1,3355x1;3821x1;3372x1,,0
171,Alchemy,3451,,1,24,3826,3826,3357x1;2453x1;3372x1,3357x1;2453x1;3372x1,,0
171,Alchemy,3452,,1,24,3827,3827,3820x1;3356x1;3372x1,3820x1;3356x1;3372x1,,0
171,Alchemy,3453,,1,24,3828,3828,3358x1;3818x1;3372x1,3358x1;3818x1;3372x1,,0
171,Alchemy,3454,,1,24,3829,3829,3358x4;3819x2;3372x1,3358x4;3819x2;3372x1,,0
164,Blacksmithing,3491,,1,24,3848,3848,2841x6;2880x4;3470x2;818x1;2319x1,2841x6;2880x4;3470x2;818x1;2319x1,,0
164,Blacksmithing,3492,,1,24,3849,3849,3575x6;3466x2;3486x1;1705x2;4234x3,3575x6;3466x2;3486x1;1705x2;4234x3,,0
164,Blacksmithing,3493,,1,24,3850,3850,3575x8;3466x2;3486x2;1529x2;4234x3,3575x8;3466x2;3486x2;1529x2;4234x3,,0
164,Blacksmithing,3494,,1,24,3851,3851,3575x8;3466x2;3486x1;2842x4;4234x2,3575x8;3466x2;3486x1;2842x4;4234x2,,0
164,Blacksmithing,3495,,1,24,3852,3852,3575x10;3577x4;1705x2;3466x2;4234x2;3486x2,3575x10;3577x4;1705x2;3466x2;4234x2;3486x2,,0
164,Blacksmithing,3496,,1,24,3853,3853,3859x8;3466x2;3486x2;1705x3;4234x3,3859x8;3466x2;3486x2;1705x3;4234x3,,0
164,Blacksmithing,3497,,1,24,3854,3854,3859x12;1529x2;3829x2,3859x12;1529x2;3829x2,,0
164,Blacksmithing,3498,,1,24,3855,3855,3575x14;3466x2;3486x2;3577x4;4234x2,3575x14;3466x2;3486x2;3577x4;4234x2,,0
164,Blacksmithing,3500,,1,24,3856,3856,3859x10;3864x2;3824x2,3859x10;3864x2;3824x2,,0
164,Blacksmithing,3501,,1,24,3835,3835,3575x6;2605x1,3575x6;2605x1,,0
164,Blacksmithing,3502,,1,24,3836,3836,3575x12;3864x1;2605x1,3575x12;3864x1;2605x1,,0
164,Blacksmithing,3503,,1,24,3837,3837,3859x8;3577x2;3486x2,3859x8;3577x2;3486x2,,0
164,Blacksmithing,3504,,1,24,3840,3840,3575x7;3486x1;2605x1,3575x7;3486x1;2605x1,,0
164,Blacksmithing,3505,,1,24,3841,3841,3859x6;3577x2;3486x1,3859x6;3577x2;3486x1,,0
164,Blacksmithing,3506,,1,24,3842,3842,3575x8;3486x1;2605x1,3575x8;3486x1;2605x1,,0
164,Blacksmithing,3507,,1,24,3843,3843,3575x10;3577x2;3486x1,3575x10;3577x2;3486x1,,0
164,Blacksmithing,3508,,1,24,3844,3844,3575x20;3486x4;1529x2;1206x2;4255x1,3575x20;3486x4;1529x2;1206x2;4255x1,,0
164,Blacksmithing,3511,,1,24,3845,3845,3859x12;3577x2;3486x4,3859x12;3577x2;3486x4,,0
164,Blacksmithing,3513,,1,24,3846,3846,3859x8;3864x1;1705x1;3486x2,3859x8;3864x1;1705x1;3486x2,,0
164,Blacksmithing,3515,,1,24,3847,3847,3859x10;3577x4;3486x4,3859x10;3577x4;3486x4,,0
165,Leatherworking,3753,,1,24,4237,4237,2318x6;2320x1,2318x6;2320x1,,0
197,Tailoring,3755,,1,24,4238,4238,2996x3;2320x3,2996x3;2320x3,,0
165,Leatherworking,3756,,1,24,4239,4239,2318x3;2320x2,2318x3;2320x2,,0
197,Tailoring,3757,,1,24,4240,4240,2997x3;2321x1,2997x3;2321x1,,0
197,Tailoring,3758,,1,24,4241,4241,2997x4;2605x1;2321x1,2997x4;2605x1;2321x1,,0
165,Leatherworking,3759,,1,24,4242,4242,4231x1;2318x6;2320x2,4231x1;2318x6;2320x2,,0
165,Leatherworking,3760,,1,24,3719,3719,4234x5;2321x2,4234x5;2321x2,,0
165,Leatherworking,3761,,1,24,4243,4243,4231x3;2318x6;2320x4,4231x3;2318x6;2320x4,,0
165,Leatherworking,3762,,1,24,4244,4244,4243x1;4231x2;2320x2,4243x1;4231x2;2320x2,,0
165,Leatherworking,3763,,1,24,4246,4246,2318x6;2320x2,2318x6;2320x2,,0
165,Leatherworking,3764,,1,24,4247,4247,2319x14;2321x4,2319x14;2321x4,,0
165,Leatherworking,3765,,1,24,4248,4248,2319x8;5373x2;2321x1;4340x1,2319x8;5373x2;2321x1;4340x1,,0
165,Leatherworking,3766,,1,24,4249,4249,4246x1;4233x1;2321x2;4340x1,4246x1;4233x1;2321x2;4340x1,,0
165,Leatherworking,3767,,1,24,4250,4250,2319x8;3383x1;2321x2,2319x8;3383x1;2321x2,,0
165,Leatherworking,3768,,1,24,4251,4251,4233x1;2319x4;2321x1,4233x1;2319x4;2321x1,,0
165,Leatherworking,3769,,1,24,4252,4252,2319x12;3390x1;4340x1;2321x2,2319x12;3390x1;4340x1;2321x2,,0
165,Leatherworking,3770,,1,24,4253,4253,2319x4;4233x2;3389x2;3182x2;2321x2,2319x4;4233x2;3389x2;3182x2;2321x2,,0
165,Leatherworking,3771,,1,24,4254,4254,4234x6;5637x2;2321x1,4234x6;5637x2;2321x1,,0
165,Leatherworking,3772,,1,24,4255,4255,4234x9;2605x2;2321x4,4234x9;2605x2;2321x4,,0
165,Leatherworking,3773,,1,24,4256,4256,4236x2;4234x12;3824x1;2321x2,4236x2;4234x12;3824x1;2321x2,,0
165,Leatherworking,3774,,1,24,4257,4257,4236x1;4234x5;2321x1;2605x1;7071x1,4236x1;4234x5;2321x1;2605x1;7071x1,,0
165,Leatherworking,3775,,1,24,4258,4258,4236x2;4234x4;2321x1;7071x1,4236x2;4234x4;2321x1;7071x1,,0
165,Leatherworking,3776,,1,24,4259,4259,4236x2;4234x6;2605x1;2321x1,4236x2;4234x6;2605x1;2321x1,,0
165,Leatherworking,3777,,1,24,4260,4260,4234x6;4236x2;4291x1,4234x6;4236x2;4291x1,,0
165,Leatherworking,3778,,1,24,4262,4262,4236x4;5500x1;1529x1;3864x1;2321x1,4236x4;5500x1;1529x1;3864x1;2321x1,,0
165,Leatherworking,3779,,1,24,4264,4264,4234x6;4236x2;4096x2;5633x1;4291x1;7071x1,4234x6;4236x2;4096x2;5633x1;4291x1;7071x1,,0
165,Leatherworking,3780,,1,24,4265,4265,4234x5;2321x1,4234x5;2321x1,,0
197,Tailoring,3813,,1,24,4245,4245,4305x3;4234x2;2321x3,4305x3;4234x2;2321x3,,0
165,Leatherworking,3816,,1,24,4231,4231,783x1;4289x1,783x1;4289x1,,0
165,Leatherworking,3817,,1,24,4233,4233,4232x1;4289x1,4232x1;4289x1,,0
165,Leatherworking,3818,,1,24,4236,4236,4235x1;4289x3,4235x1;4289x3,,0
197,Tailoring,3839,,1,24,4305,4305,4306x4,4306x4,,0
197,Tailoring,3840,,1,24,4307,4307,2996x2;2320x1,2996x2;2320x1,,0
197,Tailoring,3841,,1,24,4308,4308,2996x3;2320x2;2605x1,2996x3;2320x2;2605x1,,0
197,Tailoring,3842,,1,24,4309,4309,2996x4;2321x2,2996x4;2321x2,,0
197,Tailoring,3843,,1,24,4310,4310,2997x3;2321x1,2997x3;2321x1,,0
197,Tailoring,3844,,1,24,4311,4311,2997x3;2321x2;5498x2,2997x3;2321x2;5498x2,,0
197,Tailoring,3845,,1,24,4312,4312,2996x5;2318x2;2321x1,2996x5;2318x2;2321x1,,0
197,Tailoring,3847,,1,24,4313,4313,2997x4;2318x2;2321x1;2604x2,2997x4;2318x2;2321x1;2604x2,,0
197,Tailoring,3848,,1,24,4314,4314,2997x3;2321x2,2997x3;2321x2,,0
197,Tailoring,3849,,1,24,4315,4315,2997x6;2319x2;2321x2,2997x6;2319x2;2321x2,,0
197,Tailoring,3850,,1,24,4316,4316,2997x5;2321x4,2997x5;2321x4,,0
197,Tailoring,3851,,1,24,4317,4317,2997x6;5500x1;2321x3,2997x6;5500x1;2321x3,,0
197,Tailoring,3852,,1,24,4318,4318,2997x4;2321x3;3383x1,2997x4;2321x3;3383x1,,0
197,Tailoring,3854,,1,24,4319,4319,4305x3;4234x2;6260x2;2321x2,4305x3;4234x2;6260x2;2321x2,,0
197,Tailoring,3855,,1,24,4320,4320,4305x2;2319x4;3182x4;5500x2,4305x2;2319x4;3182x4;5500x2,,0
197,Tailoring,3856,,1,24,4321,4321,4305x3;3182x1;2321x2,4305x3;3182x1;2321x2,,0
197,Tailoring,3857,,1,24,4322,4322,4305x3;2321x2;4337x2,4305x3;2321x2;4337x2,,0
197,Tailoring,3858,,1,24,4323,4323,4305x4;4291x1;3824x1,4305x4;4291x1;3824x1,,0
197,Tailoring,3859,,1,24,4324,4324,4305x5;6260x4,4305x5;6260x4,,0
197,Tailoring,3860,,1,24,4325,4325,4305x4;4291x1;4337x2,4305x4;4291x1;4337x2,,0
197,Tailoring,3861,,1,24,4326,4326,4305x4;3827x1;4291x1,4305x4;3827x1;4291x1,,0
197,Tailoring,3862,,1,24,4327,4327,4339x3;4291x2;3829x1;4337x2,4339x3;4291x2;3829x1;4337x2,,0
197,Tailoring,3863,,1,24,4328,4328,4305x4;4337x2;7071x1,4305x4;4337x2;7071x1,,0
197,Tailoring,3864,,1,24,4329,4329,4339x4;4234x4;3864x1;7071x1;4291x1,4339x4;4234x4;3864x1;7071x1;4291x1,,0
197,Tailoring,3865,,1,24,4339,4339,4338x4,4338x4,,0
197,Tailoring,3866,,1,24,4330,4330,2997x3;2604x2;2321x1,2997x3;2604x2;2321x1,,0
197,Tailoring,3868,,1,24,4331,4331,2997x4;5500x1;2321x4;2324x2,2997x4;5500x1;2321x4;2324x2,,0
197,Tailoring,3869,,1,24,4332,4332,4305x1;4341x1;2321x1,4305x1;4341x1;2321x1,,0
197,Tailoring,3870,,1,24,4333,4333,4305x2;4340x2;2321x1,4305x2;4340x2;2321x1,,0
197,Tailoring,3871,,1,24,4334,4334,4305x3;2324x2;2321x1,4305x3;2324x2;2321x1,,0
197,Tailoring,3872,,1,24,4335,4335,4305x4;4342x1;4291x1,4305x4;4342x1;4291x1,,0
197,Tailoring,3873,,1,24,4336,4336,4305x5;2325x1;4291x1,4305x5;2325x1;4291x1,,0
197,Tailoring,3914,,1,24,4343,4343,2996x2;2320x1,2996x2;2320x1,,0
197,Tailoring,3915,,1,24,4344,4344,2996x1;2320x1,2996x1;2320x1,,0
202,Engineering,3918,,1,24,4357,4357,2835x1,2835x1,,0
202,Engineering,3919,,1,24,4358,4358,4357x2;2589x1,4357x2;2589x1,,0
202,Engineering,3920,,1,24,8067,8067,4357x1;2840x1,4357x1;2840x1,,0
202,Engineering,3922,,1,24,4359,4359,2840x1,2840x1,,0
202,Engineering,3923,,1,24,4360,4360,2840x1;4359x1;4357x2;2589x1,2840x1;4359x1;4357x2;2589x1,,0
202,Engineering,3924,,1,24,4361,4361,2840x2;2880x1,2840x2;2880x1,,0
202,Engineering,3925,,1,24,4362,4362,4361x1;4359x1;4399x1,4361x1;4359x1;4399x1,,0
202,Engineering,3926,,1,24,4363,4363,4359x2;2840x1;2589x2,4359x2;2840x1;2589x2,,0
202,Engineering,3928,,1,24,4401,4401,4363x1;4359x1;2840x1;774x2,4363x1;4359x1;2840x1;774x2,,0
202,Engineering,3929,,1,24,4364,4364,2836x1,2836x1,,0
202,Engineering,3930,,1,24,8068,8068,4364x1;2840x1,4364x1;2840x1,,0
202,Engineering,3931,,1,24,4365,4365,4364x3;2589x1,4364x3;2589x1,,0
202,Engineering,3932,,1,24,4366,4366,4363x1;4359x2;2841x1;2592x1,4363x1;4359x2;2841x1;2592x1,,0
202,Engineering,3933,,1,24,4367,4367,4364x2;4363x1;2318x1;159x1,4364x2;4363x1;2318x1;159x1,,0
202,Engineering,3934,,1,24,4368,4368,2318x6;818x2,2318x6;818x2,,0
202,Engineering,3936,,1,24,4369,4369,4361x2;4359x4;4399x1;2319x2,4361x2;4359x4;4399x1;2319x2,,0
202,Engineering,3937,,1,24,4370,4370,2840x3;4364x4;4404x1,2840x3;4364x4;4404x1,,0
202,Engineering,3938,,1,24,4371,4371,2841x2;2880x1,2841x2;2880x1,,0
202,Engineering,3939,,1,24,4372,4372,4371x2;4359x2;4400x1;1206x3,4371x2;4359x2;4400x1;1206x3,,0
202,Engineering,3940,,1,24,4373,4373,2319x4;1210x2,2319x4;1210x2,,0
202,Engineering,3941,,1,24,4374,4374,4364x4;2841x2;4404x1;2592x1,4364x4;2841x2;4404x1;2592x1,,0
202,Engineering,3942,,1,24,4375,4375,2841x2;2592x1,2841x2;2592x1,,0
202,Engineering,3944,,1,24,4376,4376,4375x1;4402x1,4375x1;4402x1,,0
202,Engineering,3945,,1,24,4377,4377,2838x1,2838x1,,0
202,Engineering,3946,,1,24,4378,4378,4377x2;2592x1,4377x2;2592x1,,0
202,Engineering,3947,,1,24,8069,8069,4377x1;2841x1,4377x1;2841x1,,0
202,Engineering,3949,,1,24,4379,4379,4371x2;4375x2;4400x1;2842x3,4371x2;4375x2;4400x1;2842x3,,0
202,Engineering,3950,,1,24,4380,4380,4377x2;2841x3;4404x1,4377x2;2841x3;4404x1,,0
202,Engineering,3952,,1,24,4381,4381,4371x1;4375x2;2319x2;1206x1,4371x1;4375x2;2319x2;1206x1,,0
202,Engineering,3953,,1,24,4382,4382,2841x2;2319x1;2592x1,2841x2;2319x1;2592x1,,0
202,Engineering,3954,,1,24,4383,4383,4371x3;4375x3;4400x1;1705x2,4371x3;4375x3;4400x1;1705x2,,0
202,Engineering,3955,,1,24,4384,4384,4382x1;4375x1;4377x2;2592x2,4382x1;4375x1;4377x2;2592x2,,0
202,Engineering,3956,,1,24,4385,4385,2319x4;1206x2;4368x1,2319x4;1206x2;4368x1,,0
202,Engineering,3957,,1,24,4386,4386,4375x1;3829x1,4375x1;3829x1,,0
202,Engineering,3958,,1,24,4387,4387,3575x2,3575x2,,0
202,Engineering,3959,,1,24,4388,4388,4375x3;4306x2;1529x1;4371x1,4375x3;4306x2;1529x1;4371x1,,0
202,Engineering,3960,,1,24,4403,4403,4371x4;4387x1;4377x4;2319x4,4371x4;4387x1;4377x4;2319x4,,0
202,Engineering,3961,,1,24,4389,4389,3575x1;10558x1,3575x1;10558x1,,0
202,Engineering,3962,,1,24,4390,4390,3575x1;4377x1;4306x1,3575x1;4377x1;4306x1,,0
202,Engineering,3963,,1,24,4391,4391,4387x2;4382x1;4389x2;4234x4,4387x2;4382x1;4389x2;4234x4,,0
202,Engineering,3965,,1,24,4392,4392,4387x1;4382x1;4389x1;4234x4,4387x1;4382x1;4389x1;4234x4,,0
202,Engineering,3966,,1,24,4393,4393,4234x6;3864x2,4234x6;3864x2,,0
202,Engineering,3967,,1,24,4394,4394,3575x3;4377x3;4404x1,3575x3;4377x3;4404x1,,0
202,Engineering,3968,,1,24,4395,4395,4377x3;3575x2;4389x1,4377x3;3575x2;4389x1,,0
202,Engineering,3969,,1,24,4396,4396,4382x1;4387x2;4389x2;3864x1,4382x1;4387x2;4389x2;3864x1,,0
202,Engineering,3971,,1,24,4397,4397,4389x4;1529x2;1705x2;3864x2;7191x1,4389x4;1529x2;1705x2;3864x2;7191x1,,0
202,Engineering,3972,,1,24,4398,4398,10505x2;4234x2;159x1,10505x2;4234x2;159x1,,0
