itemID,spellID,name,spellName,requiredLevel,quality,qualityRank,maxStacks,isEquipable,icon,descriptionSource,description,spellDescription,specTokens,spec,classRequirements_json,getEnchantInfo_ok,getEnchantInfo_retN,getEnchantInfo_retTypes,getEnchantInfo_keys
554011,54821,Glyph of Rake,Glyph of Rake,24,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_Druid_Disembowel,C_Spell:GetSpellDescription,Your Rake deals 20% more damage and prevents targets from fleeing.,Your Rake deals 20% more damage and prevents targets from fleeing.,"{""1"": ""FERAL""}","{""1"": ""FERAL""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Feral""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554012,54824,Glyph of Swiftmend,Glyph of Swiftmend,40,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\INV_Relics_IdolofRejuvenation,C_Spell:GetSpellDescription,Your Swiftmend ability no longer consumes a Rejuvenation or Regrowth effect from the target.,Your Swiftmend ability no longer consumes a Rejuvenation or Regrowth effect from the target.,"{""1"": ""RESTORATION""}","{""1"": ""RESTORATION""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554013,54825,Glyph of Healing Touch,Glyph of Healing Touch,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_HealingTouch,C_Spell:GetSpellDescription,"Decreases the cast time of Healing Touch by 1.25 sec, the mana cost by 20%, and the amount healed by 50%.","Decreases the cast time of Healing Touch by 1.25 sec, the mana cost by 20%, and the amount healed by 50%.","{""1"": ""RESTORATION""}","{""1"": ""RESTORATION""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554014,54826,Glyph of Lifebloom,Glyph of Lifebloom,50,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\INV_Misc_Herb_Felblossom,C_Spell:GetSpellDescription,Increases the duration of Lifebloom by 1 sec.,Increases the duration of Lifebloom by 1 sec.,"{""1"": ""RESTORATION""}","{""1"": ""RESTORATION""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Restoration""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554015,54828,Glyph of Starfall,Glyph of Starfall,60,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_Druid_Starfall,C_Spell:GetSpellDescription,Reduces the cooldown of Starfall by 30 sec and causes it to only hit enemies in combat.,Reduces the cooldown of Starfall by 30 sec and causes it to only hit enemies in combat.,"{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554016,54830,Glyph of Insect Swarm,Glyph of Insect Swarm,30,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_InsectSwarm,C_Spell:GetSpellDescription,"Increases the damage of your Insect Swarm ability by 30%, but it no longer affects your victim's chance to hit.","Increases the damage of your Insect Swarm ability by 30%, but it no longer affects your victim's chance to hit.","{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554017,54831,Glyph of Hurricane,Glyph of Hurricane,40,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_Cyclone,C_Spell:GetSpellDescription,Your Hurricane ability now also slows the movement speed of its victims by 20%.,Your Hurricane ability now also slows the movement speed of its victims by 20%.,"{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554018,54832,Glyph of Innervate,Glyph of Innervate,40,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_Lightning,C_Spell:GetSpellDescription,Innervate now grants the caster 45% of her base mana pool over 10 sec in addition to the normal effects of Innervate.,Innervate now grants the caster 45% of her base mana pool over 10 sec in addition to the normal effects of Innervate.,"{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554019,54845,Glyph of Starfire,Glyph of Starfire,20,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Arcane_StarFire,C_Spell:GetSpellDescription,"Your Starfire ability increases the duration of your Moonfire effect on the target by 3 sec, up to a maximum of 12 additional seconds.","Your Starfire ability increases the duration of your Moonfire effect on the target by 3 sec, up to a maximum of 12 additional seconds.","{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554020,54876,Glyph of Moonfire,Glyph of Moonfire,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Nature_StarFall,C_Spell:GetSpellDescription,"Increases the periodic damage of your Moonfire ability by 75%, but initial damage is decreased by 90%.","Increases the periodic damage of your Moonfire ability by 75%, but initial damage is decreased by 90%.","{""1"": ""BALANCE""}","{""1"": ""BALANCE""}","{""1"": {""ClassType"": ""RebornDruid"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Balance""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554021,54922,Glyph of Judgement,Glyph of Judgement,40,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_SearingLight,C_Spell:GetSpellDescription,Your Judgements deal 10% more damage.,Your Judgements deal 10% more damage.,"{""1"": ""RETRIBUTION""}","{""1"": ""RETRIBUTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Retribution""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554022,54923,Glyph of Hammer of Justice,Glyph of Hammer of Justice,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_SealOfMight,C_Spell:GetSpellDescription,Increases your Hammer of Justice range by 5 yards.,Increases your Hammer of Justice range by 5 yards.,"{""1"": ""PROTECTION""}","{""1"": ""PROTECTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Protection""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554023,54924,Glyph of Spiritual Attunement,Glyph of Spiritual Attunement,40,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_ReviveChampion,C_Spell:GetSpellDescription,Increases the amount of mana gained from your Spiritual Attunement spell by an additional 2%.,Increases the amount of mana gained from your Spiritual Attunement spell by an additional 2%.,"{""1"": ""PROTECTION""}","{""1"": ""PROTECTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Protection""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554024,54925,Glyph of Seal of Command,Glyph of Seal of Command,20,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_Warrior_InnerRage,C_Spell:GetSpellDescription,You gain 8% of your base mana each time you use a Judgement with Seal of Command active.,You gain 8% of your base mana each time you use a Judgement with Seal of Command active.,"{""1"": ""RETRIBUTION""}","{""1"": ""RETRIBUTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Retribution""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554025,54926,Glyph of Hammer of Wrath,Glyph of Hammer of Wrath,60,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Ability_ThunderClap,C_Spell:GetSpellDescription,Reduces the mana cost of Hammer of Wrath by 100%.,Reduces the mana cost of Hammer of Wrath by 100%.,"{""1"": ""RETRIBUTION""}","{""1"": ""RETRIBUTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Retribution""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554026,54927,Glyph of Crusader Strike,Glyph of Crusader Strike,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_CrusaderStrike,C_Spell:GetSpellDescription,Increases your critical strike chance of Crusader Strike by 3%.,Increases your critical strike chance of Crusader Strike by 3%.,"{""1"": ""RETRIBUTION""}","{""1"": ""RETRIBUTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Retribution""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554027,54928,Glyph of Consecration,Glyph of Consecration,10,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_InnerFire,C_Spell:GetSpellDescription,Increases the duration and cooldown of Consecration by 2 sec.,Increases the duration and cooldown of Consecration by 2 sec.,"{""1"": ""HOLY""}","{""1"": ""HOLY""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Holy""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554029,54930,Glyph of Avenger's Shield,Glyph of Avenger's Shield,50,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_AvengersShield,C_Spell:GetSpellDescription,Your Avenger's Shield deals 100% more damage but no longer jumps to any additional targets.\n\n|cff00DDFFHold SHIFT for more information|r,Your Avenger's Shield deals 100% more damage but no longer jumps to any additional targets.\n\n|cff00DDFFHold SHIFT for more information|r,"{""1"": ""PROTECTION""}","{""1"": ""PROTECTION""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Protection""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554030,54931,Glyph of Turn Evil,Glyph of Turn Evil,24,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_TurnUndead,C_Spell:GetSpellDescription,"Reduces the casting time of your Turn Evil spell by 100%, but increases the cooldown by 8 sec.","Reduces the casting time of your Turn Evil spell by 100%, but increases the cooldown by 8 sec.","{""1"": ""HOLY""}","{""1"": ""HOLY""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Holy""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
554031,54934,Glyph of Exorcism,Glyph of Exorcism,20,RE_QUALITY_RARE,1,1,TRUE,Interface\Icons\Spell_Holy_Excorcism_02,C_Spell:GetSpellDescription,Increases damage done by Exorcism by 20%.,Increases damage done by Exorcism by 20%.,"{""1"": ""HOLY""}","{""1"": ""HOLY""}","{""1"": {""ClassType"": ""RebornPaladin"", ""TabTypes"": {""1"": {""RequiredAE"": 0, ""RequiredTE"": 0, ""Tab"": ""Holy""}}}}",TRUE,1,"{""1"": ""table""}","{""1"": ""ClassRequirements"", ""2"": ""IsAvailableForCurrentClass"", ""3"": ""IsWorldforged"", ""4"": ""ItemID"", ""5"": ""Known"", ""6"": ""MaxStacks"", ""7"": ""Quality"", ""8"": ""RequiredLevel"", ""9"": ""Spec"", ""10"": ""SpellID"", ""11"": ""SpellName""}"
