talentID,spellID,name,spellName,requiredLevel,quality,maxRank,nodeType,class,tree,specFile,classFile,icon,descriptionSource,spellDescription,spells_json,entry_json
12027,1111083,Burning Soul,Burning Soul,20,Normal,2,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Fire,scan:spellDescription,Reduces the pushback suffered from damaging attacks while casting Fire spells by 35% and reduces the threat caused by your Fire spells by 10%.,"{""1"": 1111083, ""2"": 1112351}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 4, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12027, ""Icon"": ""Spell_Fire_Fire"", ""Name"": ""Burning Soul"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 20, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 10, ""Row"": 2, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111083, ""2"": 1112351}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12027, ""spellID"": 1111083}"
12029,1111095,Improved Scorch,Improved Scorch,25,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_SoulBurn,scan:spellDescription,"Increases your chance to critically hit with Scorch, Fireball and Frostfire Bolt by an additional 1% and your damaging Scorch spells have a 33% chance to cause your target to be vulnerable to spell damage, increasing spell critical strike chance against that target by 5% and lasts 30 sec.","{""1"": 1111095, ""2"": 1112872, ""3"": 1112873}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12029, ""Icon"": ""Spell_Fire_SoulBurn"", ""Name"": ""Improved Scorch"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 25, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 15, ""Row"": 3, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111095, ""2"": 1112872, ""3"": 1112873}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12029, ""spellID"": 1111095}"
12032,1111094,Molten Shields,Molten Shields,25,Normal,2,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_FireArmor,scan:spellDescription,"Causes your Fire Ward and Frost Ward spells to have a 15% chance to reflect the warded spell while active. In addition, your Molten Armor has a 50% chance to affect ranged and spell attacks.","{""1"": 1111094, ""2"": 1113043}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 2, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12032, ""Icon"": ""Spell_Fire_FireArmor"", ""Name"": ""Molten Shields"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 25, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 15, ""Row"": 3, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111094, ""2"": 1113043}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12032, ""spellID"": 1111094}"
12034,1129074,Master of Elements,Master of Elements,25,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_MasterOfElements,scan:spellDescription,Your spell criticals will refund 10% of their base mana cost.,"{""1"": 1129074, ""2"": 1129075, ""3"": 1129076}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 4, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12034, ""Icon"": ""Spell_Fire_MasterOfElements"", ""Name"": ""Master of Elements"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 25, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 15, ""Row"": 3, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1129074, ""2"": 1129075, ""3"": 1129076}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12034, ""spellID"": 1129074}"
12037,1131638,Playing with Fire,Playing with Fire,30,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_PlayingWithFire,scan:spellDescription,Increases all spell damage caused by 1% and all spell damage taken by 1%.,"{""1"": 1131638, ""2"": 1131639, ""3"": 1131640}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12037, ""Icon"": ""Spell_Fire_PlayingWithFire"", ""Name"": ""Playing with Fire"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 30, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 20, ""Row"": 4, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1131638, ""2"": 1131639, ""3"": 1131640}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12037, ""spellID"": 1131638}"
12039,1111115,Critical Mass,Critical Mass,30,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Nature_WispHeal,scan:spellDescription,Increases the critical strike chance of your Fire spells by 2%.,"{""1"": 1111115, ""2"": 1111367, ""3"": 1111368}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 2, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12039, ""Icon"": ""Spell_Nature_WispHeal"", ""Name"": ""Critical Mass"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 30, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 20, ""Row"": 4, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111115, ""2"": 1111367, ""3"": 1111368}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12039, ""spellID"": 1111115}"
12042,1111113,Blast Wave,Blast Wave,30,Normal,1,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Holy_Excorcism_02,scan:spellDescription,"A wave of flame radiates outward from the caster, damaging all enemies caught within the blast for 154 to 186 Fire damage, knocking them back and dazing them for 6 sec.","{""1"": 1111113}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 3, ""ConnectedNodes"": {""1"": 12026}, ""Distance"": 0, ""Flags"": 2097152, ""Group"": 0, ""ID"": 12042, ""Icon"": ""Spell_Holy_Excorcism_02"", ""Name"": ""Blast Wave"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 30, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 20, ""Row"": 4, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111113}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""TalentAbility"", ""entryID"": 12042, ""spellID"": 1111113}"
12043,1131641,Blazing Speed,Blazing Speed,35,Normal,2,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_BurningSpeed,scan:spellDescription,Gives you a 50% chance when hit by a melee attack greater than 5% of your max health to increase your movement speed by 50% and dispel all movement impairing effects. This effect lasts 6 sec.,"{""1"": 1131641, ""2"": 1131642}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12043, ""Icon"": ""Spell_Fire_BurningSpeed"", ""Name"": ""Blazing Speed"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 35, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 25, ""Row"": 5, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1131641, ""2"": 1131642}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12043, ""spellID"": 1131641}"
12045,1111124,Fire Power,Fire Power,35,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Immolation,scan:spellDescription,Increases the damage done by your Fire spells by 4%.,"{""1"": 1111124, ""2"": 1112378, ""3"": 1112398}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 3, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12045, ""Icon"": ""Spell_Fire_Immolation"", ""Name"": ""Fire Power"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 35, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 25, ""Row"": 5, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1111124, ""2"": 1112378, ""3"": 1112398}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12045, ""spellID"": 1111124}"
12050,1134293,Pyromaniac,Pyromaniac,40,Normal,3,SpendSquare,RebornMage,Fire,FIRE,MAGE,Interface\Icons\Spell_Fire_Burnout,scan:spellDescription,Increases chance to critically hit by 2% and allows 17% of your mana regeneration to continue while casting.,"{""1"": 1134293, ""2"": 1134295, ""3"": 1134296}","{""AECost"": 0, ""Anchor"": ""TOP"", ""Class"": ""RebornMage"", ""Color"": ""TEAL"", ""Column"": 1, ""Distance"": 0, ""Flags"": 0, ""Group"": 0, ""ID"": 12050, ""Icon"": ""Spell_Fire_Burnout"", ""Name"": ""Pyromaniac"", ""NodeType"": ""SpendSquare"", ""ParentNode"": 0, ""Points"": 0, ""PositionX"": 0, ""PositionY"": 0, ""Quality"": ""Normal"", ""QualityCost"": 1, ""RequiredAEInvestment"": 0, ""RequiredClassAEInvestment"": 0, ""RequiredClassPoints"": 0, ""RequiredClassTEInvestment"": 0, ""RequiredLevel"": 40, ""RequiredTEInvestment"": 0, ""RequiredTabAEInvestment"": 0, ""RequiredTabTEInvestment"": 30, ""Row"": 6, ""SizeX"": 0, ""SizeY"": 0, ""Spells"": {""1"": 1134293, ""2"": 1134295, ""3"": 1134296}, ""TECost"": 1, ""Tab"": ""Fire"", ""Type"": ""Talent"", ""entryID"": 12050, ""spellID"": 1134293}"
